neighbourhood,date,count,month
Allston,2005-09-25,2,September
Allston,2005-09-26,5,September
Allston,2005-09-27,3,September
Allston,2005-09-29,1,September
Allston,2005-09-30,1,September
Allston,2005-10-04,2,October
Allston,2005-10-05,4,October
Allston,2005-10-06,2,October
Allston,2005-10-07,1,October
Allston,2005-10-08,2,October
Allston,2005-10-10,1,October
Allston,2005-10-12,3,October
Allston,2005-10-13,1,October
Allston,2005-10-15,3,October
Allston,2005-10-16,1,October
Allston,2005-10-18,2,October
Allston,2005-10-19,1,October
Allston,2005-10-22,1,October
Allston,2005-10-23,1,October
Allston,2005-10-24,2,October
Allston,2005-10-25,2,October
Allston,2005-10-27,1,October
Allston,2005-10-28,1,October
Allston,2005-11-01,1,November
Allston,2005-11-03,1,November
Allston,2005-11-05,1,November
Allston,2005-11-06,2,November
Allston,2005-11-07,4,November
Allston,2005-11-08,2,November
Allston,2005-11-09,2,November
Allston,2005-11-10,1,November
Allston,2005-11-11,4,November
Allston,2005-11-13,1,November
Allston,2005-11-14,1,November
Allston,2005-11-15,1,November
Allston,2005-11-16,1,November
Allston,2005-11-18,1,November
Allston,2005-11-19,2,November
Allston,2005-11-20,1,November
Allston,2005-11-21,2,November
Allston,2005-11-22,1,November
Allston,2005-11-23,1,November
Allston,2005-11-24,2,November
Allston,2005-11-25,1,November
Allston,2005-11-26,7,November
Allston,2005-11-28,1,November
Allston,2005-11-29,2,November
Allston,2005-11-30,2,November
Allston,2005-12-02,2,December
Allston,2005-12-03,1,December
Allston,2005-12-05,2,December
Allston,2005-12-07,3,December
Allston,2005-12-08,2,December
Allston,2005-12-10,2,December
Allston,2005-12-11,2,December
Allston,2005-12-12,1,December
Allston,2005-12-13,1,December
Allston,2005-12-14,1,December
Allston,2005-12-15,2,December
Allston,2005-12-16,10,December
Allston,2005-12-17,2,December
Allston,2005-12-18,1,December
Allston,2005-12-19,1,December
Allston,2005-12-20,3,December
Allston,2005-12-22,1,December
Allston,2005-12-24,5,December
Allston,2005-12-26,1,December
Allston,2005-12-27,1,December
Allston,2005-12-28,2,December
Allston,2005-12-29,3,December
Allston,2005-12-30,1,December
Allston,2005-12-31,1,December
Allston,2006-01-02,1,January
Allston,2006-01-04,1,January
Allston,2006-01-05,1,January
Allston,2006-01-06,2,January
Allston,2006-01-08,4,January
Allston,2006-01-09,1,January
Allston,2006-01-10,1,January
Allston,2006-01-11,2,January
Allston,2006-01-12,2,January
Allston,2006-01-13,1,January
Allston,2006-01-14,3,January
Allston,2006-01-15,2,January
Allston,2006-01-16,2,January
Allston,2006-01-17,3,January
Allston,2006-01-18,7,January
Allston,2006-01-19,2,January
Allston,2006-01-22,1,January
Allston,2006-01-23,3,January
Allston,2006-01-24,2,January
Allston,2006-01-25,3,January
Allston,2006-01-26,3,January
Allston,2006-01-27,1,January
Allston,2006-01-29,1,January
Allston,2006-01-30,3,January
Allston,2006-01-31,1,January
Allston,2006-02-01,7,February
Allston,2006-02-02,1,February
Allston,2006-02-03,1,February
Allston,2006-02-04,5,February
Allston,2006-02-05,6,February
Allston,2006-02-06,2,February
Allston,2006-02-07,2,February
Allston,2006-02-08,1,February
Allston,2006-02-09,1,February
Allston,2006-02-10,1,February
Allston,2006-02-11,1,February
Allston,2006-02-12,2,February
Allston,2006-02-13,3,February
Allston,2006-02-15,2,February
Allston,2006-02-16,1,February
Allston,2006-02-17,7,February
Allston,2006-02-18,5,February
Allston,2006-02-19,2,February
Allston,2006-02-20,3,February
Allston,2006-02-22,3,February
Allston,2006-02-24,2,February
Allston,2006-02-25,1,February
Allston,2006-02-26,1,February
Allston,2006-02-27,1,February
Allston,2006-02-28,2,February
Allston,2006-03-01,2,March
Allston,2006-03-02,2,March
Allston,2006-03-03,1,March
Allston,2006-03-05,1,March
Allston,2006-03-06,4,March
Allston,2006-03-07,1,March
Allston,2006-03-11,4,March
Allston,2006-03-12,2,March
Allston,2006-03-13,4,March
Allston,2006-03-14,1,March
Allston,2006-03-15,1,March
Allston,2006-03-16,1,March
Allston,2006-03-17,1,March
Allston,2006-03-18,2,March
Allston,2006-03-19,3,March
Allston,2006-03-22,2,March
Allston,2006-03-23,4,March
Allston,2006-03-24,1,March
Allston,2006-03-25,1,March
Allston,2006-03-27,1,March
Allston,2006-03-28,2,March
Allston,2006-03-30,2,March
Allston,2006-03-31,3,March
Allston,2006-04-01,9,April
Allston,2006-04-02,1,April
Allston,2006-04-03,1,April
Allston,2006-04-04,5,April
Allston,2006-04-05,7,April
Allston,2006-04-06,3,April
Allston,2006-04-07,4,April
Allston,2006-04-10,1,April
Allston,2006-04-11,2,April
Allston,2006-04-12,3,April
Allston,2006-04-14,1,April
Allston,2006-04-15,5,April
Allston,2006-04-16,2,April
Allston,2006-04-17,2,April
Allston,2006-04-18,1,April
Allston,2006-04-20,2,April
Allston,2006-04-21,2,April
Allston,2006-04-22,2,April
Allston,2006-04-24,1,April
Allston,2006-04-25,1,April
Allston,2006-04-27,1,April
Allston,2006-04-28,1,April
Allston,2006-04-30,1,April
Allston,2006-05-02,3,May
Allston,2006-05-03,1,May
Allston,2006-05-05,4,May
Allston,2006-05-06,1,May
Allston,2006-05-07,6,May
Allston,2006-05-08,4,May
Allston,2006-05-09,3,May
Allston,2006-05-10,1,May
Allston,2006-05-11,2,May
Allston,2006-05-13,1,May
Allston,2006-05-14,1,May
Allston,2006-05-15,2,May
Allston,2006-05-16,2,May
Allston,2006-05-17,1,May
Allston,2006-05-18,2,May
Allston,2006-05-20,5,May
Allston,2006-05-21,2,May
Allston,2006-05-22,2,May
Allston,2006-05-23,2,May
Allston,2006-05-24,1,May
Allston,2006-05-25,4,May
Allston,2006-05-28,2,May
Allston,2006-05-29,4,May
Allston,2006-05-30,5,May
Allston,2006-05-31,2,May
Allston,2006-06-02,3,June
Allston,2006-06-04,1,June
Allston,2006-06-06,2,June
Allston,2006-06-07,1,June
Allston,2006-06-08,2,June
Allston,2006-06-10,1,June
Allston,2006-06-11,7,June
Allston,2006-06-12,1,June
